gene_id,colors
ALDH3A2,greenyellow
HSD17B4,blue
GPM6A,blue
HDGF,blue
HNRNPA3,greenyellow
PGD,yellow
HNRNPM,greenyellow
KPNA2,black
RAP1GDS1,greenyellow
ARHGDIA,yellow
HNRNPF,black
MSH6,black
RIDA,greenyellow
SMS,yellow
THOP1,greenyellow
CAPZA1,tan
HMGA2,greenyellow
CRIP2,blue
BLVRA,blue
ACLY,yellow
MVD,black
COPB1,tan
COPA,yellow
SUB1,greenyellow
RARS1,blue
YARS1,tan
USP14,greenyellow
HSPA2,greenyellow
RAD23B,black
NAPA,blue
EIF5,blue
CSE1L,black
VCP,magenta
HADHB,black
NAP1L1,black
ADK,black
SEC13,greenyellow
NPEPPS,yellow
HNRNPH2,blue
EIF3B,tan
EIF6,black
CTBP2,black
TMEM33,tan
EPPK1,greenyellow
MTPN,blue
DEFA1B;DEFA3,greenyellow
ARPC4,yellow
TPI1,magenta
EIF3E,black
SEC61B,tan
GABARAPL2,greenyellow
MYL6,black
ACTB;ACTG1,magenta
EIF4A1,magenta
RPS20,black
PRPS1,magenta
PSMA6,black
CDC42,yellow
GMFB,blue
UBE2D2;UBE2D3,black
RAB14,greenyellow
ACTR3,blue
ACTR2,blue
ABCE1,tan
RPS3A,black
RPL26;RPL26L1,black
PSME3,black
RPL15,black
RPL27,magenta
ATP6V0D1,greenyellow
HSPE1,magenta
SEC61A1,tan
DAD1,black
COPZ1,tan
UFM1,black
NUTF2,black
HNRNPK,greenyellow
YWHAG,blue
RPS7,black
PPP1CA,yellow
PPP1CB,blue
PSMC5,blue
RPS8,black
RPS15A,black
RPS16,magenta
YWHAE,magenta
RPS14,black
RPS18,black
RPS13,black
RPS11,black
SNRPE,greenyellow
SNRPF,yellow
LSM3,black
SNRPD1,blue
SNRPD2,yellow
SNRPD3,greenyellow
TMSB4X,yellow
ARF6,tan
RPL7A,black
RPS4X,magenta
RPL23A,black
H4-16,tan
RAB1A,yellow
RAN,magenta
RPL23,black
RPS25,black
RPS28,greenyellow
FAU,black
GNB1,yellow
GNB2,black
RPL30,black
RPL31,black
RPL10A,black
RPL11,black
RPL8,magenta
PPIA,magenta
TRA2B,greenyellow
GNAS,blue
GNAI1,tan
YWHAZ,greenyellow
DYNLL1;DYNLL2,blue
RPL38,black
SKP1,magenta
RPS21,magenta
EIF5A,yellow
RACK1,magenta
UBE2I,blue
YBX1,black
SEC11A,tan
TPM4,magenta
UBE2L3,blue
ACTA1,blue
TUBA4A,greenyellow
TUBB4B,greenyellow
PAFAH1B2,blue
HBB,greenyellow
HBA2,black
GTF2I,black
CCT2,yellow
GSTO1,tan
PRKDC,magenta
ABAT,tan
BASP1,blue
DCD,magenta
SARNP,yellow
RPL24,black
CBX1,blue
ERH,greenyellow
RPL19,greenyellow
SRSF3,blue
FOXK1,greenyellow
SLC25A3,black
HDLBP,greenyellow
CLTC,yellow
FKBP3,black
SORD,tan
HNRNPU,greenyellow
MYBPC1,greenyellow
U2AF1,yellow
SPTBN1,tan
SET,greenyellow
FABP5,magenta
CAP1,black
HMGCS1,black
EWSR1,yellow
ALDH6A1,black
DSG1,tan
H1-1,yellow
RPL18A,black
FKBP4,yellow
NUCB1,tan
RPL6,magenta
TOP2B,yellow
AKAP12,black
SLC25A11,yellow
LMNB2,blue
EIF4G1,tan
GLO1,black
SSBP1,black
YWHAH,greenyellow
EEF1A2,blue
EML5,tan
PTPN11,blue
PSME1,black
PRDX1,magenta
RPL18,black
C1QBP,greenyellow
CKAP4,blue
KHDRBS1,blue
KLC1,blue
SRSF1,greenyellow
ARHGAP1,tan
SRSF4,greenyellow
