col,oRG,EN,IPC-EN,IN,RG,Microglia,Vascular,OPC
AGO3,1.0217963707552495,0.5035886744238555,0.6178266750673383,0.32921495768689724,0.6783372545959493,0.14647506017825263,0.16872434314597973,0.4211018466361988
AGRN,0.7754245047253826,0.8059199163232158,0.4963198121029857,0.4404177131392617,0.5376179773954615,0.16863286339894412,1.439783583534561,0.35320527505238497
AHCY,0.44849507604237937,0.2555237430512033,0.3546517489869085,0.047319315870993604,0.2736243501779904,0.07061541218013748,0.12567775555969973,0.0669505009003139
AHCYL1,0.5656326143127774,0.43571453104961066,0.6865107328495441,0.20721355693872198,0.452152983724451,0.18535889131264263,0.21691646392370922,0.22874638745510387
AHNAK,0.26597779721898934,0.004168505518931384,0.014532161985617326,0.0038428118118361485,0.189605921127572,0.010799743606458072,0.2012839129279975,0.0
AHNAK2,0.012730869124352189,0.10858165555888223,0.00437702893174982,0.020419633188140576,0.007440836393036311,0.00785435898651496,0.007843249567863596,0.004590378679204935
AHSA1,0.9623118401096338,0.9232738043678221,1.0335201582318996,0.6272970912899182,0.8185010990434444,0.37955013951694294,0.38718625726151246,0.43315712429235764
AHSP,0.0,0.0008162427665520031,0.002625975346200634,0.0018766806660444977,0.0013693148568944,0.022151493942576234,0.0009804061959829496,0.0
AIF1,0.0008463578507452317,0.001439845508172951,0.0018237205464793848,0.0009607029529590371,0.005637458996170317,0.5082122043971463,0.0,0.0
AIF1L,1.4752150078936628,0.17940828898468125,0.6599827248525146,0.08631958212724451,0.934902337140075,0.1215211081954903,0.11258171321374412,0.3203453735296908
AIFM1,0.17299547514063976,0.20632803457959822,0.23009093357087332,0.06618015447945624,0.15209855451648116,0.06985355950683309,0.08751562820369009,0.09258759368778338
AIMP1,0.5224279793380145,0.45817948789623897,0.5323192600579036,0.21315706197321552,0.3610634774258014,0.1408425367695193,0.15997759406940143,0.22034565020037866
AIMP2,0.3081898929435111,0.2908393334454266,0.2770648395666913,0.08566737438512996,0.2623146132332221,0.07880343415718043,0.10917744575225606,0.09258759368778337
AIP,0.32206863599934693,0.4149400073864019,0.5562756029552234,0.16045069432245254,0.2666901243156641,0.13780573781368727,0.17824514168664113,0.16638626523399483
AK1,0.2680990250570927,0.5947146566224512,0.4373034331257116,0.19652334441939856,0.19966968488116466,0.0956607784987887,0.3405049884316365,0.19323078554990114
AKAP12,1.0316545787841123,0.3392071341803028,0.3949880094313245,0.07125452528341972,0.7340990225105808,0.0923817308883176,0.38506946035881046,0.08609203572081829
AKR1A1,0.49906958779025945,0.7483552715043406,0.7667213518038366,0.28615455742708534,0.36111428768230885,0.30473943137597004,0.1267096011392341,0.2361042338701149
AKR1B1,0.6654437659920741,0.7546743144071989,0.7950071052611758,0.3989494678337357,0.39856776478955935,0.31885316966165855,0.20648116136610262,0.3934230229900902
AKR7A2,0.4845215284462242,0.2680621197012256,0.4241236645762445,0.1363044253516067,0.3457310188786744,0.10238570521499493,0.16097557101502874,0.10445355043763804
ALAD,0.15798783090468405,0.2959255087011156,0.20104084885344978,0.1591430335520805,0.133584181842043,0.07365380959684739,0.08244700169950887,0.12472024444221791
ALB,0.0015546145066307343,0.0018744013752341657,0.0013451212541890608,0.0007613390773860773,0.00109545188551552,0.0,0.0,0.0
ALDH16A1,0.11214173276966227,0.0871790738292026,0.19857582082383857,0.013894076393000276,0.1537529529984572,0.07650777988090159,0.06912822029160584,0.04858898618349416
